 Company Name, Today's High, Today's Low, Last Price, Chg, %Chg
ABB India,6471.95,6222.8,6360.85,81.5,1.3
Adani Ports,1358.7,1314.0,1341.85,19.05,1.44
Arvind Smart,727.95,686.35,697.8,1.25,0.18
Avenue Supermar,4560.0,4397.05,4525.6,105.05,2.38
Bharat Bijlee,6490.0,6084.05,6416.15,281.15,4.58
Century,1684.9,1494.5,1629.9,123.95,8.23
Chalet Hotels,958.0,875.05,883.3,11.55,1.32
Cummins,3025.0,2939.15,3006.25,37.9,1.28
Dixon Technolog,7580.0,7431.45,7479.25,55.05,0.74
Dynacons Sys,1087.0,910.05,1027.8,90.7,9.68
Enfuse Solution,102.15,99.05,99.05,-5.2,-4.99
Force Motors,7390.0,7185.0,7244.0,57.05,0.79
Giriraj Civil D,540.85,540.85,540.85,25.75,5.0
Grasim,2309.2,2210.0,2287.3,79.95,3.62
IFB Industries,1525.0,1387.05,1505.95,136.7,9.98
INDUS TOWERS,292.75,283.25,291.15,7.55,2.66
Info Edge,5631.8,5415.0,5592.0,116.45,2.13
Interglobe Avi,3573.8,3516.0,3548.65,2.0,0.06
Interiors & Mor,272.0,248.0,266.3,21.65,8.85
JSW Holdings,7463.95,7103.2,7212.25,-21.25,-0.29
JTEKT India ,188.0,162.15,175.15,11.85,7.26
Jyoti CNC Auto,837.7,758.2,821.45,23.35,2.93
Kalyan Jeweller,439.0,416.3,427.8,12.65,3.05
Karnika Ind,308.0,301.7,301.7,1.25,0.42
Larsen,3813.35,3697.55,3763.9,57.5,1.55
Maruti Suzuki,12726.8,12385.5,12600.35,90.0,0.72
Mindspace REIT,350.3,342.05,345.39,1.25,0.36
Neueon Towers,3.95,3.95,3.95,0.15,3.95
Nila Spaces,5.75,5.25,5.55,0.05,0.91
Onelife Capital,30.25,29.2,30.25,2.75,10.0
Oracle Fin Serv,8894.0,8722.25,8774.1,-28.15,-0.32
Owais Metal and,519.0,483.0,491.5,8.7,1.8
Parin Furniture,150.5,137.0,150.5,6.5,4.51
Pidilite Ind,3037.3,2964.5,3014.7,22.4,0.75
Pratham EPC Pro,103.75,96.0,103.5,4.85,4.92
Redtape,687.45,642.2,657.95,-3.85,-0.58
Rico Auto,154.0,143.65,145.1,-3.1,-2.09
Sanghvi Movers,1399.85,1304.6,1352.1,28.9,2.18
Schneider Infra,752.0,715.0,741.05,24.25,3.38
Sejal Glass,399.0,380.0,388.65,8.65,2.28
SEMAC CONSULT,3122.0,2988.75,3002.2,-16.35,-0.54
Shilpa,469.0,454.0,460.55,6.55,1.44
Shree Karni Fab,370.0,351.05,358.65,-6.05,-1.66
Shrem Infra,118.0,118.0,118.0,2.0,1.72
Siemens,5405.0,5236.5,5374.05,85.4,1.61
Signoria,168.15,168.1,168.15,8.0,5.0
Sun Pharma,1634.0,1607.95,1620.55,16.4,1.02
Thermax,4288.65,4151.2,4192.35,5.3,0.13
V R Infraspace,155.7,137.0,143.65,13.9,10.71
Vadilal Ind,4577.25,4304.45,4343.55,16.15,0.37
